PHY_MODE	REF_SEL	REFCLK (MHz)	PLL_REG_SEL[2:0]	PLL_RATE_SEL[3:0]	PLL Rate (GHz)	FBDIV[9:0]	FBDIV_CAL[9:0]	REFDIV[3:0]	VIND_BAND_SEL	DIV_1G[9:0]	DIV_1G_FBCK[9:0]	ICP_LC[4:0]	PLL_LPFR[1:0]	PLL_LPFC[1:0]	INTPI_LCPLL[3:0]	TX_INTPR[1:0]	INIT_TXFOFFS[9:0]	SPEED_THRESH[11:0]	LCCAP_USB	SSC_ACC_FACTOR	SSC_STEP_125PPM[3:0]	SSC_M[12:0]
SAS	5	100	1	0	11.25	038	017	2	0	02D	00B	0C	1	1	4	2	36E	7A5	0	0	3	0AE5
SAS	6	125	1	0	11.25	02D	017	2	0	02D	00B	0D	0	1	4	2	000	7A5	0	0	3	0AE5
SAS	7	156.25	1	0	11.25	024	017	2	0	02D	00B	0C	0	1	4	2	000	7AE	0	0	3	0AE5
USB	0	25	0	0	10	064	014	1	0	028	00A	0F	1	1	4	2	000	7D0	0	0	3	09AF
USB	1	30	0	0	10	053	014	1	0	028	00A	0F	1	1	4	2	37D	7D0	0	0	3	09AF
USB	2	40	0	0	10	07D	014	2	0	028	00A	0F	1	1	4	2	000	7D0	0	0	3	09AF
USB	3	50	0	0	10	032	014	1	0	028	00A	0D	1	1	4	2	000	7D0	0	0	3	09AF
USB	4	62.5	0	0	10	028	014	1	0	028	00A	0C	1	1	4	2	000	7E0	0	0	3	09AF
USB	5	100	0	0	10	032	014	2	0	028	00A	0D	1	1	4	2	000	7D0	0	0	3	09AF
USB	6	125	0	0	10	014	014	1	0	028	00A	0A	0	1	4	2	000	7D0	0	0	3	09AF
USB	7	156.25	0	0	10	020	014	2	0	028	00A	0C	0	1	4	2	000	7DA	0	0	3	09AF
PCIE	0	25	0	1	10	064	014	1	0	028	00A	0F	1	1	4	2	000	7D0	0	0	3	09AF
PCIE	1	30	0	1	10	053	014	1	0	028	00A	0F	1	1	4	2	37D	7D0	0	0	3	09AF
PCIE	2	40	0	1	10	07D	014	2	0	028	00A	0F	1	1	4	2	000	7D0	0	0	3	09AF
PCIE	3	50	0	1	10	032	014	1	0	028	00A	0D	1	1	4	2	000	7D0	0	0	3	09AF
PCIE	4	62.5	0	1	10	028	014	1	0	028	00A	0C	1	1	4	2	000	7E0	0	0	3	09AF
PCIE	5	100	0	1	10	032	014	2	0	028	00A	0D	1	1	4	2	000	7D0	0	0	3	09AF
PCIE	6	125	0	1	10	014	014	1	0	028	00A	0A	0	1	4	2	000	7D0	0	0	3	09AF
PCIE	7	156.25	0	1	10	020	014	2	0	028	00A	0C	0	1	4	2	000	7DA	0	0	3	09AF
PCIE	0	25	0	0	8	050	010	1	0	020	008	0F	1	1	3	3	000	7D0	1	0	4	07BF
PCIE	1	30	0	0	8	085	010	2	0	020	008	0E	2	1	3	3	3AE	7D0	1	0	4	07BF
PCIE	2	40	0	0	8	032	010	1	0	020	008	0F	1	1	3	3	000	7D0	1	0	4	07BF
PCIE	3	50	0	0	8	050	010	2	0	020	008	0F	1	1	3	3	000	7D0	1	0	4	07BF
PCIE	4	62.5	0	0	8	020	010	1	0	020	008	0D	1	1	3	3	000	7E0	1	0	4	07BF
PCIE	5	100	0	0	8	014	010	1	0	020	008	0F	1	0	3	3	000	7D0	1	0	4	07BF
PCIE	6	125	0	0	8	010	010	1	0	020	008	0B	0	1	3	3	000	7D0	1	0	4	07BF
PCIE	7	156.25	0	0	8	033	010	4	0	020	008	0F	1	1	3	3	380	7DA	1	0	4	07BF
